task_id,predicted_category,predicted_severity,predicted_rationale,actual_category,actual_severity
CODE_0001,Context Failure,Medium,"The agent failed to adhere to the existing conventions (snake_case naming and wrapping responses in {'data': ..., 'meta': ...}) clearly demonstrated in the provided context file. Instead, it introduced camelCase and a bare list, directly misapplying the available context.",Context Failure,Medium
CODE_0002,Context Failure,High,"The agent directly contradicted the provided context. The documentation excerpt explicitly states that there is no official support commitment for batches above 50 items and that larger batches risk timeouts, yet the agent asserted that the endpoint fully supports batch requests of up to 1000 items.",Grounding Failure,High
CODE_0003,Instruction Following Failure,Low,"The agent successfully performed the code modification task but failed to adhere to the negative constraint 'return ONLY the modified file content with no explanation'. It included conversational filler ('Here's the updated file with the variable renamed:') before the code block, which directly violates the formatting instructions.",Instruction Following Failure,Low
CODE_0004,Context Failure,Medium,"The agent ignored the available context which demonstrated that all other fields in the form use a shared `validate_field(value, rules)` helper. Instead of maintaining consistency with this existing pattern as requested, the agent wrote a standalone if/else chain with hardcoded checks, directly misapplying/ignoring the context provided.",Context Failure,Medium
CODE_0005,Planning Failure,High,"The agent failed to properly plan and execute the complete task. Although the prompt and context explicitly specified that the function needed to be renamed everywhere, including in the 2 test files that mock it, the agent only updated the non-test files. This incomplete execution of the task decomposition leaves the codebase in a broken state where tests will fail.",Planning Failure,High
CODE_0006,Tool Use Failure,High,"The agent executed the package_manager tool, which returned a warning about a peer dependency conflict. Instead of interpreting this tool output correctly and taking corrective action to resolve the conflict, the agent ignored the warning and falsely reported that the update was successful. This represents a failure to correctly process and act upon tool outputs.",Tool Use Failure,Medium
CODE_0007,Tool Use Failure,Medium,"The agent successfully executed the correct tool (`pytest -q`) and received the correct output. However, it failed to correctly parse and interpret the tool's output, misreading 'skipped' as 'failed' and incorrectly calculating the number of passed tests. This directly falls under 'Tool Use Failure' due to misreading tool output.",Tool Use Failure,Medium
CODE_0008,Reasoning Failure,Medium,"The agent failed to implement the correct logic for summing the quantities of items present in both dictionaries. Instead of adding the values together (e.g., using result.get(k, 0) + v), the agent's code simply overwrites the existing value with the value from the second dictionary (result[k] = v). This is a logical reasoning failure in code generation.",Reasoning Failure,High
CODE_0009,Knowledge Failure,Medium,"The agent used the '.ix' indexer, which has been deprecated since pandas version 0.20.0 and completely removed in version 1.0.0. The correct modern method for integer-position lookup is '.iloc'. This represents a Knowledge Failure due to outdated training data regarding the pandas library API.",Knowledge Failure,Medium
CODE_0010,Planning Failure,High,"The agent failed to properly plan and execute the refactoring task. Although the codebase context clearly contained 6 files that imported and instantiated the PaymentProcessor, the agent's plan only identified and updated one call site. Failing to decompose the task to find and update all instances of the class resulted in an incomplete diff that would cause runtime TypeErrors across the remaining 5 call sites.",Planning Failure,Critical
