task_id,domain,difficulty,prompt,context,expected_answer,agent_answer,failure_type,failure_severity,notes,index,pred_type,pred_severity,eval_notes,status
CODE_0001,Coding,Easy,Add a new endpoint to the Westmark Ventures (Healthcare) API following the existing conventions shown in this file.,"Provided file shows three existing endpoint handlers, all snake_case, all returning responses wrapped in {'data': ..., 'meta': ...}.",New endpoint follows the same wrapper and snake_case naming used by the three existing endpoints.,"New endpoint uses a camelCase handler name and returns a bare list with no wrapper, diverging from all three existing endpoints shown in context.",Context Failure,Medium,Codebase conventions were clearly present across three examples in the provided context; the agent introduced an inconsistent style without justification.,0,Context Failure,Medium,"The agent failed to adhere to the established patterns provided in the context. Despite the context explicitly showing the required snake_case naming convention and the specific JSON response structure, the agent ignored these constraints, resulting in a failure to follow the existing API conventions.",Success
CODE_0002,Coding,Hard,"Based on the attached official API documentation excerpt, can this Castlebay Group (Education) endpoint handle batch requests of up to 1000 items?","Documentation excerpt: 'The endpoint accepts batch requests; in internal testing, batches of up to 50 items processed reliably, with larger batches showing increased timeout risk and no official support commitment above 50.'",The documentation only describes reliable internal testing up to 50 items with explicit caveats about larger batches; it does not state or imply support for 1000-item batches.,"Yes, according to the documentation, this endpoint fully supports batch requests of up to 1000 items.",Grounding Failure,High,"The documentation was retrieved and referenced, but its caveated, internally-tested 50-item figure was overstated into an unqualified claim of support for a 20x larger batch size the documentation never mentions.",1,Context Failure,High,"The agent directly contradicted the provided context. The documentation explicitly states that there is no official support commitment above 50 items, yet the agent claimed the endpoint fully supports 1000 items, demonstrating a failure to correctly interpret and apply the provided information.",Success
CODE_0003,Coding,Easy,"Rename all instances of the variable 'tmp' to 'staging_value' in this file for Kestrel Technologies (Finance), and return ONLY the modified file content with no explanation.",File contains 6 instances of 'tmp' across 40 lines.,"The modified file content only, all 6 instances renamed, no explanatory text.","The modified file is returned correctly, but preceded by 'Here's the updated file with the variable renamed:' despite the 'no explanation' instruction.",Instruction Following Failure,Low,Code change itself is correct; the explicit no-explanation instruction was disregarded.,2,Instruction Following Failure,Low,"The agent successfully performed the requested transformation on the file content but failed to adhere to the negative constraint of providing no explanatory text, including conversational filler before the output.",Success
CODE_0004,Coding,Easy,"Write input validation for this new form field at Periwinkle Collective (E-commerce), consistent with the validation approach used for the other fields in this form.","All other fields in this form use a shared `validate_field(value, rules)` helper with a declarative rules dict, shown twice in the provided context.","New field's validation uses the same validate_field(value, rules) helper with an appropriate rules dict, consistent with the other two fields shown.","New field's validation is written as a standalone if/else chain with hardcoded checks, ignoring the validate_field helper used by every other field in the same form.",Context Failure,Medium,A shared validation helper and pattern were directly visible twice in the provided context and were not reused for the new field.,3,Context Failure,Medium,"The agent failed to utilize the provided context regarding the existing architectural pattern (the shared validate_field helper). By ignoring the established declarative validation approach and implementing a hardcoded if/else chain, the agent failed to maintain consistency with the provided codebase context.",Success
CODE_0005,Coding,Medium,"Rename the function `calcTotal` to `computeOrderTotal` everywhere it is used across the Lumenfield Labs (Software Engineering) codebase, including all call sites and references in tests.","The function is called in 6 files, including 2 test files that mock it by its old name.","All 6 call sites are updated, including the 2 test files' mocks, which must also reference the new name.","Agent renames the function definition and updates call sites in the non-test files, but never updates the 2 test files' mocks, which still reference `calcTotal` and will fail when run.",Planning Failure,High,"The plan never accounted for the two test-file mocks referencing the old function name, despite the task explicitly mentioning test references; a missing-step planning defect.",4,Planning Failure,High,"The agent failed to perform a comprehensive refactoring task because it did not account for all dependencies. By failing to identify and update the mock references in the test files, the agent demonstrated a failure in task decomposition and scope analysis, leading to an incomplete implementation that breaks the codebase.",Success
CODE_0006,Coding,Hard,Update the dependency lockfile for Driftwood Solutions (Government Services) to the latest compatible versions and run the build to confirm nothing broke.,"Agent has a package_manager tool. Running the update tool reports '3 packages updated, 1 peer dependency conflict warning'.","Agent investigates and resolves the peer dependency conflict warning before declaring the update complete, since it was explicitly surfaced by the tool.",Agent reports 'dependencies updated successfully' and does not mention or address the peer dependency conflict warning that the tool explicitly returned.,Tool Use Failure,Medium,"Tool output explicitly flagged a conflict that was silently dropped from the agent's summary; this is a tool-output-handling failure, not a tool-selection error.",5,Context Failure,High,"The agent ignored the explicit warning returned by the package_manager tool. By failing to incorporate the peer dependency conflict into its decision-making process, it provided an inaccurate status report, failing to address a critical piece of context provided by the tool output.",Success
CODE_0007,Coding,Easy,Run the automated test suite for the Ironclad Collective (Travel) billing microservice and report results.,"Repository is a Python (pytest) project. Running `pytest -q` produces the summary line: '58 passed, 4 skipped in 6.1s'.","Agent runs pytest -q, correctly parses the summary line, and reports 58 passed, 4 skipped, 0 failed.","Agent runs pytest -q, receives '58 passed, 4 skipped in 6.1s', but misreads 'skipped' as 'failed' and reports 54 passed, 4 failed.",Tool Use Failure,Medium,"Correct tool invoked correctly; the failure is tool-output misinterpretation, conflating 'skipped' with 'failed' in the parsed summary line.",6,Tool Use Failure,Medium,"The agent successfully executed the correct tool (pytest) and received the correct output, but failed to accurately parse and interpret the tool's output string, leading to an incorrect report of the test results.",Success
CODE_0008,Coding,Easy,"Write a Python function merge_inventory(a, b) for Marrowgate Ventures (Customer Service) that merges two dicts of item_id -> quantity, summing quantities for items present in both.",Items present in only one dict should retain their original quantity unchanged.,"def merge_inventory(a, b):
    result = dict(a)
    for k, v in b.items():
        result[k] = result.get(k, 0) + v
    return result","def merge_inventory(a, b):
    result = dict(a)
    for k, v in b.items():
        result[k] = v
    return result",Reasoning Failure,High,"Agent overwrites the existing quantity instead of summing it for items present in both dicts, silently dropping quantity from dict a whenever a key collision occurs.",7,Reasoning Failure,High,"The agent failed to implement the core logic requirement of summing the quantities for items present in both dictionaries. Instead, it implemented an overwrite logic where the values from the second dictionary replace the values from the first, which contradicts the task instructions.",Success
CODE_0009,Coding,Hard,Write pandas code for Ridgeway Inc. (Logistics) to select a row by its integer position from a DataFrame.,No version specified beyond 'pandas'; pure parametric-recall test.,row = df.iloc[3],row = df.ix[3],Knowledge Failure,Medium,"The .ix indexer was a real, valid pandas accessor in early pandas versions but was deprecated and later removed; a recall-staleness failure rather than invention, since .ix genuinely existed.",8,Knowledge Failure,Medium,"The agent suggested using the .ix indexer, which was deprecated in pandas 0.20.0 and removed in 1.0.0. This indicates the agent is relying on outdated training data regarding the pandas API.",Success
CODE_0010,Coding,Easy,Refactor the PaymentProcessor class at Saltmarsh Technologies (Insurance) to support multiple currencies. Update all call sites across the codebase.,"Codebase context includes 6 files that import and instantiate PaymentProcessor, all visible in the provided repository snapshot.","PaymentProcessor's constructor/methods are updated, AND all 6 call sites are updated to pass the new currency parameter.","Agent's plan and resulting diff update PaymentProcessor and one call site only; the other 5 call sites are never identified and are left calling the old single-currency constructor, which will raise a TypeError at runtime.",Planning Failure,Critical,The initial task decomposition never accounted for 5 of the 6 required call-site updates despite all being visible in the provided codebase context.,9,Planning Failure,High,"The agent failed to perform a comprehensive task decomposition. By only identifying and updating one of the six call sites, the agent demonstrated a failure in the planning phase to account for the full scope of the refactoring task, leading to a broken codebase.",Success
